Date,News
12/1/2017,RBI bullish on blockchain  embraces the idea of digital rupee 
2/1/2017,Bitcoin jumps above &#36 1 000 for first time in three years
28/12/2017,Can you launder black money using bitcoins?  
15/12/2017,Afraid to invest in bitcoin? Unocoin's SIP plan might help  
9/12/2017,Zebpay looks to make hay while bitcoin shines  
28/11/2017,Unocoin launches Bitcoin mobile app on iOS and Android  
28/6/2017,Volatile and interesting months ahead for bitcoin: Charles Hayter on Bitmain's hard fork  
15/6/2017,Big correction on crypto-street: Bitcoin  other digital currencies crash 10-20% 
15/6/2017,Apart from crazy rallies  cryptocurrencies have other perks too 
15/6/2017,Here's a quick look at ethereum  the cryptocurrency challenging bitcoin's dominance 
13/6/2017,Flippening in sight? Ethereum up 5000% YTD  but bitcoin falls $400 in a day 
12/6/2017,Heavy buying from Japan  South Korea fuels bitcoin past $3000  ether tops $300
7/6/2017,Rise of Ethereum: Why this cryptocurrency skyrocketed 3000% in 2017  
27/5/2017,Profit booking hits crypto-street: Top digital currencies see double digit fall from highs  
26/5/2017,Rs 10 000 invested in this 'currency' in 2010 would have got you Rs 66 crore today 
25/5/2017,New frontiers: Bitcoin goes past $2500  Ethereum up 2000% but fate of cryptocurrencies still uncertain in India 
10/5/2017,What is Bitcoin and how it changed concept of money forever  
9/5/2017,Bitcoin's roaring rally continues  tops $1700  $2500-3500 seen by 2017 end
5/5/2017,History of bitcoin across the globe and how have countries accepted it  
4/5/2017,Bitcoin breaks past $1500-mark  could crack $1600 soon 
4/5/2017,Rise of the underdog: Ether’s 900% rally this year blunts some of bitcoin’s edge  
2/5/2017,Bitcoin at record high of $1400 on rising global acceptance  all eyes now on India 
31/3/2017,Bitcoin: A revolutionary idea  but is it bulletproof? 
30/3/2017,Exclusive: Should Bitcoin be allowed in India? Govt panel to meet on April 20 to discuss  
28/3/2017,Modi govt warns against use of Bitcoins  says can attract anti-money laundering law 
27/3/2017,Bitcoin faces 'civil war' that may split it into two  but it may be good for currency 
27/3/2017,Bitcoin may be in a bubble but it's about to disrupt the concept of money. Here's why  
24/3/2017,BJP's Kirit Somaiya terms bitcoin a 'pyramid ponzi scheme'. Is he right?  
22/3/2017,G20 on blockchain: Essential to build accountable digital economy for all  
11/3/2017,US SEC rejects Winklevoss bitcoin ETF proposal  currency stays resilient as not all is bad news 
3/3/2017,Bitcoin now more valuable than gold  close to $1300 on ETF talk 
8/9/2017,Was wrong before  I now understand bitcoin but still not buying it: Howard Marks 
7/9/2017,Blockchain and Unocoin announce largest bitcoin partnership in India  
4/9/2017,Panic sell-off: Cryptocurrencies lose over $36 bn in m-cap as China cracks down on ICOs  
30/8/2017,Bitcoin tops $4700  altcoins at new highs  a wrap of the major action on cryptostreet
16/8/2017,Bitcoin swings wildly after topping out at $4 400  prices up 4X this year
12/8/2017,As markets tank  bitcoin rockets past $3700  is it the new safe haven?
10/8/2017,BitBay forays into India  to offer trade in 6 more cryptocurrencies apart from Bitcoin 
9/8/2017,New P2P cryptocurrency-fiat exchange platform Qvolta aims to compete with LocalBitcoins  
8/8/2017,Interview: CEO of world's largest bitcoin cloud miner answers the most important questions on bitcoin mining  
5/8/2017,Bitcoin zooms past $3200 to all-time high  baby brother ‘Bcash’ struggles to hold above $200 
3/8/2017,Bitcoin enthusiast? Now trade in ethereum  litecoin and ripple with INR from Aug 25 on Koinex 
2/8/2017,New kid on the blockchain: Bitcoin Cash holds above $200 after hard fork  Bitcoin sees minor fall 
31/7/2017,A new currency: Bitcoin's 'civil war' ends on Tuesday and 'Bitcoin Cash' will be born  
31/7/2017,You may disagree with Howard Marks on bitcoin but read what he thinks about ICOs  
31/7/2017,They're not real: What legendary fund manager Howard Marks thinks about cryptocurrencies  
26/7/2017,Bitcoin  cryptocurrencies to be more accessible as TenX plans to issue crypto-debit cards 
20/7/2017,Prepared for a hard fork but may shut operations around Aug 1: Indian bitcoin exchanges  
18/7/2017,What the 'fork': Risks  precautions ahead of Bitcoin 'civil war' conclusion on Aug 1 
15/7/2017,Cryptocurrency fall continues ahead of Bitcoin's 'civil war' conclusion on Aug 1  Ether below $200 
14/7/2017,Exclusive: Bitcoin unlikely to be declared illegal in India  regulatory ownership not decided yet 
14/7/2017,Commodity Champions: The crypto craze  
13/7/2017,'Buy Bitcoin' sign guy gets $11 000 from crypto-community for photobombing Janet Yellen 
12/7/2017,Ethereum down 50%  bitcoin falls 22% MoM: Have crypto assets entered a bear market? 
12/7/2017,Ethereum  bitcoin crash: Mcap for cryptocurrencies tumbles $16 bn in 2 days 
4/7/2017,Bitcoin exchange Belfrics soon to have an ICO for its upcoming Belrium blockchain  
22/12/2017,Are Bitcoins worth a bet? HNIs come calling but regulators yet to buy in  
22/12/2017,Cryptocurrency craze: Will Bitcoin  Ripple  Ethereum hurt gold in 2018?
22/12/2017,Goldman Sachs to set up cryptocurrency trading desk: Report  
20/12/2017,Amitabh Bachchan rode the bitcoin wave and is now a cryptocurrency crorepati  
15/12/2017,Cryptocurrency a boon to digital transactions &amp  financial inclusion 
13/12/2017,Bitcoin frenzy: Mumbai-based Koinex raises funding from Beenext & Pantera Capital  
13/12/2017,Bitcoin hits another record high in march toward $20 0 
12/12/2017,Cryptocurrency exchanges Coinbase  Bitfinex down 
11/12/2017,Newly minted bitcoin futures indicate more modest growth ahead  
8/12/2017,Bitcoin tops record $19 000 on Coinbase exchange  then plunges in wild 2-day ride
1/12/2017,Nobel laureate Joseph Stiglitz demands bitcoin to be 'outlawed'  
1/12/2017,White House says it is monitoring rise of cryptocurrencies  IMF seeks its regulation 
30/11/2017,Govt doesn't recognise cryptocurrency as legal  says Arun Jaitley 
30/11/2017,Nasdaq plans to let investors bet on Bitcoin's trajectory  
29/11/2017,10 cryptocurrencies other than Bitcoin and Ether that have crossed $1 billion valuation in no time  
29/11/2017,Explainer: What is bitcoin and how does it work?  
28/11/2017,'Buy bitcoin with credit card' is on the rise on Google and sparking bubble fears  
27/11/2017,10 000 in sight for bitcoin as it rockets to new record high 
25/11/2017,DATA STORY: Energy consumed by bitcoin miners around the world is more than over 150 countries  
12/10/2017,Police book ATC Coin founder for diversion of funds from crypto business  
19/9/2017,RBI-backed cryptocurrency? Why idea of crypto-rupee may not be as good as it sounds  
16/9/2017,Government mulling India's own cryptocurrency  
15/9/2017,Bitcoin falls below $3000 as Chinese regulator orders cryptocurrency exchanges to shut shop  
14/9/2017,China’s oldest bitcoin exchange BTCC to shut operations  cryptocurrencies shed $17 bn in mcap 
14/9/2017,Bitcoin price dips below $4 000 as ban of exchanges in China spooks crypto-street 
11/1/2018,If you own bitcoin  Warren Buffett's cryptocurrency predictions are scary. How to cope 
11/1/2018,Bitcoin skids on news South Korea prepares to ban cryptocurrency trade  
11/1/2018,South Korea's major cryptocurrency exchanges raided by police  tax authorities 
10/1/2018,Jamie Dimon says he regrets calling bitcoin a fraud and believes in the technology behind it  
