Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,281.25,291.25,277.763,282.737,177.207901,1891924
2009-01-05,286.25,296.25,285.487,293.612,184.023926,1054672
2009-01-06,295.25,296.25,286.587006,291.912994,182.959091,898672
2009-01-07,295.375,299.75,286.75,296.774994,186.006363,4513520
2009-01-09,296.774994,316.25,287.25,298.774994,187.259888,2113588
2009-01-12,300,300,284.25,289.149994,181.227341,1741132
2009-01-13,286.125,310,275.25,307.549988,192.759689,4831848
2009-01-14,310,328.424988,307.524994,326.212006,204.456253,3319924
2009-01-15,319.75,319.75,303.774994,313.013,196.183655,2666528
2009-01-16,315,318.399994,309.649994,317.062012,198.721405,1065456
2009-01-19,320,320,309.5,314.888,197.358887,633604
2009-01-20,307.5,314,307.5,312.350006,195.768112,546584
2009-01-21,306.100006,313.174988,304,305.799988,191.662842,601232
2009-01-22,305.799988,309.725006,300.812012,307.388,192.658203,843404
2009-01-23,307.388,308.763,297.812012,300.987,188.646271,2111160
2009-01-27,300.987,315,300.987,312.950012,196.144196,1135332
2009-01-28,313,324.024994,313,321.299988,201.37764,640088
2009-01-29,325,329.674988,322.125,327.412994,205.209015,1759600
2009-01-30,325,328,321.25,326.375,204.558365,1013984
2009-02-02,323.25,324.5,316.763,319.700012,200.374847,1658392
2009-02-03,321,325,315.5,320.600006,200.938873,479180
2009-02-04,320.600006,326.812012,319.75,320.737,201.024796,472816
2009-02-05,320.5,322.75,309.524994,315,197.429062,1030384
2009-02-06,315,323.5,311.75,321.799988,201.690994,794088
2009-02-09,323.75,328.75,322.25,327.462006,205.239746,1119200
2009-02-10,328.75,331.237,323.174988,326.837006,204.847977,1108936
2009-02-11,325,326.25,319.162994,325.638,204.096527,724076
2009-02-12,317.75,324.975006,313,314.587006,197.170212,874900
2009-02-13,315.25,318.75,311.549988,313.674988,196.598587,581000
2009-02-16,313.75,315.149994,303.763,305.388,191.404633,1029436
2009-02-17,300.25,304.462006,292.200012,294.412994,184.525925,983248
2009-02-18,292.5,297.375,290.25,294.687988,184.698364,1676076
2009-02-19,296.25,303.25,293,302.049988,189.312531,880312
2009-02-20,300,301,290.850006,294.612,184.650665,707856
2009-02-24,294.612,297.763,286.600006,296.024994,185.536285,491504
2009-02-25,297.549988,306,297.549988,304.062012,190.573563,917648
2009-02-26,304,310,300.138,309.087006,193.723022,774212
2009-02-27,309,309.924988,300.587006,307.825012,192.932068,474668
2009-03-02,302.825012,307.25,297.5,304.687988,190.965897,719296
2009-03-03,303.725006,303.725006,297.587006,299.399994,187.651581,608480
2009-03-04,300.375,303.875,295.274994,299.475006,187.698608,1004668
2009-03-05,303.375,303.375,294.037994,295.700012,185.332626,387288
2009-03-06,292.5,309.5,292,304.799988,191.036102,1104668
2009-03-09,304,304.862,297.75,299.187988,187.518768,770528
2009-03-12,299.187988,313.424988,299.187988,306.787994,192.282089,1007472
2009-03-13,310.5,325,310.5,324.087006,203.124405,1258400
2009-03-16,326.274994,326.274994,317.25,322.062012,201.855209,716052
2009-03-17,320,322.25,314.375,316.388,198.298996,624412
2009-03-18,319.5,325.424988,316.75,319.362,200.162994,812464
2009-03-19,321,327.75,320.587006,323.962006,203.046066,1021932
2009-03-20,324.75,325,320.25,324.337006,203.281082,601524
2009-03-23,325,335.013,325,332.674988,208.507019,608412
2009-03-24,336.25,339.825012,327.549988,330.737,207.292374,741968
2009-03-25,330,337.350006,327.5,334.899994,209.901581,936656
2009-03-26,335.25,348.674988,335.25,345.162994,216.333939,1680656
2009-03-27,349.5,349.5,332.5,336.687988,211.022217,1118056
2009-03-30,333.75,333.75,322,324.462006,203.359451,554340
2009-03-31,326.5,335,325.013,331.024994,207.472855,514964
2009-04-01,331.5,346,325.75,343.875,215.526733,512700
2009-04-02,344.75,358.424988,342.5,355.100006,222.562088,1020616
2009-04-06,355.100006,364.25,318.75,353.612,221.62944,1067620
2009-04-08,353.612,357.225006,339.112,355.450012,222.781494,684700
2009-04-09,358.25,361.75,349.5,356.612,223.509735,748948
2009-04-13,356.612,366,344.513,352.274994,220.791489,783992
2009-04-15,352.274994,352.274994,325.013,342.700012,214.790237,3109748
2009-04-16,345,350,330.725006,335.325012,210.167908,2063528
2009-04-17,341.25,355.200012,338.25,348.274994,218.284439,1321172
2009-04-20,348.5,352.424988,343.299988,348.062012,218.150955,700736
2009-04-21,345,347.5,338.5,340.875,213.646469,323156
2009-04-22,343.75,346.25,339.037994,344.837006,216.1297,625712
