"date","weighted","close","high","low","open","volume"
"2013-01-01","13.3","13.3","13.56","13.16","13.51","378879.35"
"2013-01-02","13.28","13.28","13.4","13.16","13.3","239156.18"
"2013-01-03","13.4","13.4","13.46","13.25","13.28","240845.86"
"2013-01-04","13.5","13.5","13.52","13.27","13.4","397884.35"
"2013-01-05","13.44","13.44","13.55","13.31","13.5","286932.51"
"2013-01-06","13.45","13.45","13.52","13.36","13.44","171497.01"
"2013-01-07","13.59","13.59","13.59","13.4","13.45","344083.33"
"2013-01-08","13.74","13.74","13.88","13.5","13.59","587223.86"
"2013-01-09","13.77","13.77","13.86","13.62","13.74","393192.24"
"2013-01-10","14.14","14.14","14.32","13.77","13.77","727790.48"
"2013-01-11","14.14","14.14","14.35","13.91","14.14","570677.27"
"2013-01-12","14.24","14.24","14.34","13.98","14.14","381546.96"
"2013-01-13","14.12","14.12","14.31","13.95","14.24","540759.58"
"2013-01-14","14.3","14.3","14.35","14.11","14.12","315016.66"
"2013-01-15","14.25","14.25","14.48","13.99","14.3","732428.4"
"2013-01-16","14.73","14.73","14.73","14.21","14.25","660929.7"
"2013-01-17","15.5","15.5","15.7","14.63","14.73","993185.63"
"2013-01-18","15.7","15.7","15.99","15.41","15.5","879655.99"
"2013-01-19","15.62","15.62","15.77","15.25","15.7","534667.03"
"2013-01-20","15.7","15.7","15.89","15.51","15.62","408455.8"
"2013-01-21","16.8","16.8","16.98","15.63","15.7","1007686.44"
"2013-01-22","17.26","17.26","17.59","16.65","16.8","1045898.98"
"2013-01-23","17.5","17.5","17.59","16.8","17.26","851188.37"
"2013-01-24","16.9","16.9","19.19","15.61","17.5","3053222.09"
"2013-01-25","17.4","17.4","17.8","15.39","16.9","1345890.12"
"2013-01-26","17.88","17.88","17.88","16.54","17.4","597064.17"
"2013-01-27","17.82","17.82","18","17.21","17.88","419571.12"
"2013-01-28","18.72","18.72","18.88","17.75","17.82","1057611.3"
"2013-01-29","19.53","19.53","19.8","18.7","18.72","1650126.18"
"2013-01-30","19.7","19.7","19.8","19.15","19.53","877863.5"
"2013-01-31","20.41","20.41","21.43","19.51","19.7","2042238.64"
