Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,240,254.350006,238.574997,249.149994,213.598587,3906086
2009-01-05,251,261.5,249,257.625,220.864258,2414888
2009-01-06,257.5,261,249.125,253.199997,217.070663,2959496
2009-01-07,259.5,259.899994,232.300003,252.399994,216.384842,4506914
2009-01-09,252.5,274.899994,242.5,268.475006,230.166092,7109990
2009-01-12,255.824997,265,252.550003,256.274994,219.706863,3797708
2009-01-13,249.800003,268.5,244.100006,262.825012,225.322327,6679904
2009-01-14,264,278.799988,264,269.475006,231.023468,2979452
2009-01-15,260,261.5,249.175003,255.225006,218.806717,3585762
2009-01-16,254.350006,259.5,243.25,251.5,215.613266,4895038
2009-01-19,258.950012,258.950012,243.649994,250.375,214.648773,3434188
2009-01-20,247.350006,253.949997,245,248.225006,212.805573,2317598
2009-01-21,245.5,250.5,242.5,246.149994,211.026627,1834930
2009-01-22,247.5,252.024994,241.574997,248.300003,212.869827,2424068
2009-01-23,245.050003,249.449997,241.649994,243.074997,208.390411,1515610
2009-01-27,243.5,257.5,243.5,249.550003,213.941483,2621978
2009-01-28,237.600006,255,237.600006,253.725006,220.167557,2394698
2009-01-29,256.024994,259,248.050003,257,223.009369,5008518
2009-01-30,252.5,257.5,249.149994,255.800003,221.968185,4353762
2009-02-02,254.399994,254.399994,243.574997,245.649994,213.160507,1617346
2009-02-03,246.5,254.899994,246.5,249.925003,216.870117,1904280
2009-02-04,251.5,256.450012,246.5,249.324997,216.349472,1242378
2009-02-05,250,251.300003,239.125,241.449997,209.516006,2170774
2009-02-06,245,253.949997,243.5,251.399994,218.149994,3420194
2009-02-09,250,261.825012,248.324997,257.5,223.443268,2297612
2009-02-10,258.5,264,255.5,262.299988,227.608398,3395386
2009-02-11,259,261.5,256,257.375,223.334747,2251366
2009-02-12,256,257.850006,252.050003,254.949997,221.230499,1422186
2009-02-13,255,260,253.5,255.600006,221.79454,1628604
2009-02-16,253.800003,257.475006,249,250.375,217.260651,1250998
