'2009-01-01', 'Infy Q3 PAT seen at Rs 1572 cr: KRChoksey  ', 'Corporate houses seek CISF protection   ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-03',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-04',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-05', 'Hold Infosys Tech, TCS, Satyam: Emkay Global   ',Infosys' Dec qtr PAT seen at Rs 1491 cr: Angel  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-06', 'IT majors may miss Q3 revenue forecast: CLSA   ', 'Infosys Q3 PAT seen at Rs 1501.01 cr: Reliance Money  ', 'Infosys Tech Q3 PAT seen up at Rs 1520.6 cr: Emkay  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-07', 'Satyam scam: Infosys, peers react  ', 'Security fears may deter new outsourcing customers   ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-08', 'Infy Dec qtr PAT seen at Rs 5607 cr: Religare  ', 'We will not touch tainted co like Satyam: Narayana Murthy  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-09',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-10',Infosys' Dec qtr PAT seen at Rs 1538.6 cr: P Lilladher  , 'Infy Dec qtr PAT seen at Rs 1539.1 cr: M Oswal  ', 'Hold Infosys, TCS, HCL Tech: Emkay Global  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-11',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-12', 'Infosys Q3 PAT seen up 7% to Rs 1532 cr  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-13', 'Infy lowers full-year guidance on currency fluctuations  ', 'Infy adds 30 new clients in Q3  ', 'Infosys topline beats street expectation  ', 'Infosys Q3 revenues grew by 8.0% YoY   ', 'Above Rs 1243, Infosys can touch Rs 1296-1310: Bose  ', 'Infy reveals bank a/c details: An analysis  ', 'Infy freezes hiring, will honour commitments: Director  ', 'Buy Infosys, says Mohoni  ', 'Some steam left in Infosys: Mukadam  ', 'Infosys Q3 revenues seen up 5.5% to Rs 5,713.4 cr  ', 'Infosys Q3 net up 14.6% at Rs 1,641 cr (QoQ)  ', 'Infosys FY09 revenues seen at USD 4.67 bn  ', 'Road ahead for Infy, IT sector now  ', 'Satyam should become a case study for regulators: Infy  ', 'Infosys has USD 1.98 billion cash  ',,,,,,,,,,,,,,,
'2009-01-14', 'Reduce Infosys, target of Rs 1250: IIFL  ', 'HDFC Securities neutral on Infosys   ', 'Buy Infosys, target of Rs 1595: Sharekhan  ', 'Infosys\xef\xbf\xbd public sector bank shift: An analysis   ', 'Nortel files for bankruptcy: Impact on Indian IT, telecom  ', 'Accumulate Infosys, target of Rs 1380: P Lilladher  ', 'Mahadevan positive on Infosys  ', 'Buy Infosys, target of Rs 1347: Motilal Oswal  ', 'Finacle from Infosys to power transformation at Raiffeisen  ', 'Accumulate Infosys, target of Rs 1319: Angel  ',,,,,,,,,,,,,,,,,,,,
'2009-01-15', 'Accumulate Infosys Technologies: Parag Parikh  ', 'Hold Infosys for long term: Srivastava  ', 'Will Sec 10AA(7) of I-T Act render IT SEZ null, void?  ', 'Hold Infosys: Reliance Money  ', 'Nortel contributes 0.5% rev, owes $4m: Infosys  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-16', 'Sugar, Fertilizer more convincing than IT space: Mathew  ', 'Infosys a better bet: VK Sharma  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-17', 'Hold Infosys, target of Rs 1330: Emkay Global  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-18',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-19', 'Hold Infosys Technologies: Indiabulls Securities  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-20',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-21',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-23', 'Wipro has Rs 5,831-cr liquid investments   ',Ramalinga Raju's salary is lowest among peers!   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-24',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-25',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-26',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-27',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-28',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-29',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-30','BBB' rating on Infosys affirmed  Outlook revised to stable , 'Slowdown blues: IT cos may slash variable pay  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-01-31',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-01',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-03', 'Chakrabarty positive on Infosys, TCS  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-04', 'Infosys BPO gets +ve rating in Gartner\xef\xbf\xbds MarketScope  ', 'Finacle from Infosys named Leader in Global Bkng Platform  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-05', 'PNB sets milestone for the Indian Banking Industry  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-06','More Infy employees under performance lens this year'  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-07',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-08',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-09',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-10',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-11', 'Campus hiring: IT majors keeping off IITs?   ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-12','IT vendors may see few mega deals till economy recovers'  , 'Narayana Murthy against job cuts, will reduce pay if needed  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-13',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-14',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-15',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
