time,date,,News Headlines
8.53 am , 06-01-2009,Business Line,IT majors may miss Q3 revenue forecast: CLSA   
8.44 pm , 05-01-2009,Moneycontrol.com,"Hold Infosys Tech, TCS, Satyam: Emkay Global   "
1.00 pm , 05-01-2009,Moneycontrol.com,Infosys' Dec qtr PAT seen at Rs 1491 cr: Angel  
3.38 pm , 01-01-2009,Moneycontrol.com,Infy Q3 PAT seen at Rs 1572 cr: KRChoksey  
9.05 am , 01-01-2009,Business Line,Corporate houses seek CISF protection   
2.24 pm , 13-01-2009,CNBC-TV18,"Buy Infosys, says Mohoni  "
2.20 pm , 13-01-2009,ibnlive,"Infy freezes hiring, will honour commitments: Director  "
11.49 am , 13-01-2009,CNBC-TV18,Some steam left in Infosys: Mukadam  
10.58 am , 13-01-2009,CNBC-TV19,Infosys Q3 revenues grew by 8.0% YoY   
10.29 am , 13-01-2009,CNBC-TV18,Infy lowers full-year guidance on currency fluctuations  
10.28 am , 13-01-2009,CNBC-TV18,Satyam should become a case study for regulators: Infy  
10.28 am , 13-01-2009,CNBC-TV18,"Road ahead for Infy, IT sector now  "
9.27 am , 13-01-2009,CNBC-TV18,Infosys FY09 revenues seen at USD 4.67 bn  
9.14 am , 13-01-2009,CNBC-TV18,"Infosys Q3 net up 14.6% at Rs 1,641 cr (QoQ)  "
8.26 am , 13-01-2009,CNBC-TV18,"Infosys Q3 revenues seen up 5.5% to Rs 5,713.4 cr  "
7.09 pm , 12-01-2009,CNBC-TV18,Infosys Q3 PAT seen up 7% to Rs 1532 cr  
4.22 pm , 10-01-2009,Moneycontrol.com,Infosys' Dec qtr PAT seen at Rs 1538.6 cr: P Lilladher  
1.44 pm , 10-01-2009,Moneycontrol.com,Infy Dec qtr PAT seen at Rs 1539.1 cr: M Oswal  
12.35 pm , 10-01-2009,Moneycontrol.com,"Hold Infosys, TCS, HCL Tech: Emkay Global  "
3.16 pm , 08-01-2009,Moneycontrol.com,Infy Dec qtr PAT seen at Rs 5607 cr: Religare  
1.43 pm , 08-01-2009,CNBC-TV18,We will not touch tainted co like Satyam: Narayana Murthy  
12.59 pm , 07-01-2009,CNBC-TV18,"Satyam scam: Infosys, peers react  "
8.41 am , 07-01-2009,Business Line,Security fears may deter new outsourcing customers   
1.38 pm , 06-01-2009,Moneycontrol.com,Infosys Tech Q3 PAT seen up at Rs 1520.6 cr: Emkay  
12.41 pm , 06-01-2009,Moneycontrol.com,Infosys Q3 PAT seen at Rs 1501.01 cr: Reliance Money  
2.05 pm , 15-01-2009,Moneycontrol.com,Hold Infosys: Reliance Money  
12.44 pm , 15-01-2009,CNBC-TV18,"Will Sec 10AA(7) of I-T Act render IT SEZ null, void?  "
11.27 am , 15-01-2009,Moneycontrol.com,Accumulate Infosys Technologies: Parag Parikh  
10.48 am , 15-01-2009,CNBC-TV18,Hold Infosys for long term: Srivastava  
9.10 am , 15-01-2009,CNBC-TV18,"Nortel contributes 0.5% rev, owes $4m: Infosys  "
8.47 pm , 14-01-2009,CNBC-TV18,Mahadevan positive on Infosys  
8.25 pm , 14-01-2009,CNBC-TV18,"Nortel files for bankruptcy: Impact on Indian IT, telecom  "
7.40 pm , 14-01-2009,Moneycontrol.com,"Accumulate Infosys, target of Rs 1380: P Lilladher  "
5.11 pm , 14-01-2009,Moneycontrol.com,Finacle from Infosys to power transformation at Raiffeisen  
4.39 pm , 14-01-2009,CNBC-TV18,Infosys� public sector bank shift: An analysis   
4.05 pm , 14-01-2009,Moneycontrol.com,"Buy Infosys, target of Rs 1595: Sharekhan  "
3.36 pm , 14-01-2009,Moneycontrol.com,HDFC Securities neutral on Infosys   
2.35 pm , 14-01-2009,Moneycontrol.com,"Reduce Infosys, target of Rs 1250: IIFL  "
2.21 pm , 14-01-2009,Moneycontrol.com,"Buy Infosys, target of Rs 1347: Motilal Oswal  "
11.13 am , 14-01-2009,Moneycontrol.com,"Accumulate Infosys, target of Rs 1319: Angel  "
7.50 pm , 13-01-2009,Moneycontrol.com,Infy adds 30 new clients in Q3  
6.12 pm , 13-01-2009,CNBC-TV18,Infosys topline beats street expectation  
4.43 pm , 13-01-2009,CNBC-TV18,"Above Rs 1243, Infosys can touch Rs 1296-1310: Bose  "
3.24 pm , 13-01-2009,CNBC-TV18,Infy reveals bank a/c details: An analysis  
3.13 pm , 13-01-2009,Moneycontrol.com,Infosys has USD 1.98 billion cash  
1.13 pm , 17-02-2009,CNBC-TV18,Clients budget likely to be down by around 8%: Infosys  
11.07 am , 17-02-2009,CNBC-TV18,Infy to offer price discounts to clients  
8.55 am , 17-02-2009,Business Line,Business recovery may take 2-4 years: Infosys   
2.11 pm , 16-02-2009,CNBC-TV18,"Global distress, local policy freeze a tricky mix: Nilekani  "
11.47 am , 12-02-2009,CNBC-TV18,"Narayana Murthy against job cuts, will reduce pay if needed  "
8.27 am , 12-02-2009,Business Line ,'IT vendors may see few mega deals till economy recovers'  
8.34 am , 11-02-2009,Business Line,Campus hiring: IT majors keeping off IITs?   
8.51 am , 06-02-2009,Business Line,'More Infy employees under performance lens this year'  
2.29 pm , 05-02-2009,Business Line,PNB sets milestone for the Indian Banking Industry  
5.50 pm , 04-02-2009,Business Line,Finacle from Infosys named Leader in Global Bkng Platform  
2.30 pm , 04-02-2009,Business Line,Infosys BPO gets +ve rating in Gartner�s MarketScope  
10.58 am , 03-02-2009,CNBC-TV18,"Chakrabarty positive on Infosys, TCS  "
4.39 pm , 30-01-2009,CNBC-TV18,Slowdown blues: IT cos may slash variable pay  
4.27 pm , 30-01-2009,CNBC-TV19,'BBB' rating on Infosys affirmed  Outlook revised to stable 
8.36 am , 23-01-2009,Business Line,Ramalinga Raju's salary is lowest among peers!   
8.34 am , 23-01-2009,Business Line,"Wipro has Rs 5,831-cr liquid investments   "
2.45 pm , 19-01-2009,Moneycontrol.com,Hold Infosys Technologies: Indiabulls Securities  
1.59 pm , 17-01-2009,Moneycontrol.com,"Hold Infosys, target of Rs 1330: Emkay Global  "
3.37 pm , 16-01-2009,CNBC-TV18,"Sugar, Fertilizer more convincing than IT space: Mathew  "
1.59 pm , 16-01-2009,CNBC-TV18,Infosys a better bet: VK Sharma  
