b'20180122,BRIEF-Infosys Appointed As Official Technology Partner By A.S. Watson Group ,* SAYS APPOINTED AS OFFICIAL TECHNOLOGY PARTNER BY A.S. WATSON GROUP Source text - http://bit.ly/2G0c52l Further company coverage:,topStory'
b'20180116,BRIEF-Infosys \xe2\x80\x8dLaunches Infosys Business Assurance Store\xe2\x80\x8b ,* \xe2\x80\x8dLAUNCHES INFOSYS BUSINESS ASSURANCE STORE\xe2\x80\x8b Source text: http://bit.ly/2FEoklb Further company coverage:,topStory'
b'20180112,UPDATE 2-New Infosys CEO to set out priorities by April ,* Company trying to put internal feud behind it (Adds details from press conference  management quotes),topStory'
b"20180112,BRIEF-Infosys COO Pravin Rao Says Co Remains Confident On Banking  Insurance Segments ,* INFOSYS CEO PAREKH SAYS HOPE AND EXPECT TO BE CONNECTED WITH CO'S FOUNDERS,normal"
b"20180112,BRIEF-India's Infosys CEO Says Co Will Lay Out Strategic Priorities In April - TV ,* CEO SAYS CO WILL LAY OUT STRATEGIC PRIORITIES IN APRIL - TV,normal"
b"20180112,UPDATE 1-India's Infosys posts better-than-expected Q3 profit on tax deal ,Jan 12 India's second-biggest IT services exporter Infosys Ltd posted third-quarter profit well above estimates  helped by tax benefits from the firm's deal with the U.S. Internal Revenue Service (IRS).,normal"
b'20180112,BRIEF-Infosys Dec-Qtr Consol Profit Up About 38 Pct ,* DEC QUARTER CONSOL REVENUE FROM OPERATIONS 177.94 BILLION RUPEES VERSUS 172.73 BILLION RUPEES LAST YEAR,normal'
b'20180111,Indian shares mark record closing highs ,Jan 11 Indian shares ended at record closing levels on Thursday  riding on gains in IT stocks such as Infosys Ltd and financials led by Housing Development Finance Corporation Ltd.,topStory'
b'20180109,Infosys signs agreement with U.S. IRS; sees lower tax rate ,Indian software services company Infosys Ltd  on Tuesday said it has signed an agreement with the U.S. Internal Revenue Service (IRS)  resulting in an effective tax rate of about 100 basis points lower going forward.,topStory'
b'20180109,Infosys signs agreement with U.S. IRS; sees lower tax rate ,Jan 9 Indian software services company Infosys Ltd on Tuesday said it has signed an agreement with the U.S. Internal Revenue Service (IRS)  resulting in an effective tax rate of about 100 basis points lower going forward.,normal'
b'20180109,BRIEF-Infosys Signs Advance Pricing Agreement With U.S. Internal Revenue Service ,* SAYS SIGNING OF ADVANCE PRICING AGREEMENT WITH U.S. INTERNAL REVENUE SERVICE,normal'
b'20180108,Indian shares end at record closing levels; Infosys leads ,Jan 8 Indian shares ended at record closing highs for a second straight session on Monday as investors remained optimistic over corporate results  with sentiment also boosted by broader world markets hovering near all-time highs.,topStory'
b'20180104,BRIEF-Infosys Partners With Paperless Validation Co ValGenesis ,* SAYS CO PARTNERS WITH PAPERLESS VALIDATION COMPANY VALGENESIS Source text: http://bit.ly/2E2BqHh Further company coverage:,topStory'
b'20171229,BRIEF-Infosys Sells Stake In ANSR Consulting Holdings For $1 Mln ,* SIGNED AGREEMENT FOR DIVESTMENT OF ITS ENTIRE INVESTMENT IN ANSR CONSULTING HOLDINGS  INC.  FOR CONSIDERATION OF $1 MILLION Source text - http://bit.ly/2BSIgOG Further company coverage:,topStory'
b"20171206,Infosys seeks settlement with regulator on ex-CFO's severance pay ,MUMBAI  Dec 6 Infosys has sought a settlement with India's market regulator over a disputed severance package awarded to its former chief financial officer.,topStory"
b"20171204,Growth  healing: New CEO faces twin tests at India's Infosys ,MUMBAI Investors on Monday cheered the appointment of Infosys Ltd's new chief executive  in hopes the Indian IT services firm can move past a costly boardroom spat  though questions remain over how the new boss will navigate strained corporate ties internally. (Graphic: Infosys share price - http://reut.rs/2AUICYx),topStory"
b'20171204,UPDATE 2-Growth  healing: New CEO faces twin tests at India\'s Infosys ,* Parekh will need to "build consensus" - analyst (Adds graphic  updates share price and adds analyst comment),normal'
b'20171204,Indian shares rise; Infosys jumps as CEO appointment brings peace hopes ,Dec 4 Indian stocks rose on Monday as Infosys Ltd rallied on hopes that the appointment of a new CEO would help the company move on from a feud between its board and founders that had pummelled shares.,normal'
b"20171204,BRIEF-India's Infosys shares rise 2.7 pct on appointment of new CEO ,* Shares trading 2.7 percent higher after company appoints Salil Parekh as new CEO,normal"
b"20171204,Growth  healing: New CEO faces twin tests at India's Infosys ,MUMBAI  Dec 4 After well over a decade with Capgemini  Salil Parekh is returning home to head unsettled Indian software services firm Infosys  where he will seek to replicate his success in notching up record growth at the divisions he ran.,normal"
b"20171203,RPT-UPDATE 2-India's Infosys taps Capgemini exec Parekh as CEO ,MUMBAI  Dec 2 Infosys  India's No.2 IT services company  named Salil S Parekh as chief executive on Saturday  picking an outsider for the job for a second time and handing him the twin challenges of reviving growth and forging peace between its founders and board following a public spat.,topStory"
b"20171202,India's Infosys taps Capgemini executive Parekh as CEO ,MUMBAI Infosys  India's No.2 IT services company  named Salil S Parekh as chief executive on Saturday  picking an outsider for the job for a second time and handing him the twin challenges of reviving growth and forging peace between its founders and board following a public spat.,topStory"
b"20171202,UPDATE 2-India's Infosys taps Capgemini exec Parekh as CEO ,* Parekh has track record in business turnarounds (Updates to add details on Parekh  quotes  background),normal"
b"20171202,India's Infosys names outsider Parekh as chief executive - statement ,MUMBAI  Dec 2 Infosys  India's No.2 IT services company  said on Saturday it had named Salil S Parekh  an executive at consultancy firm Capgemini  as its next chief executive officer and managing director.,normal"
b'20171129,BRIEF-Infosys Finacle Launches Blockchain Based Trade Finance Solution ,* INFOSYS FINACLE LAUNCHES BLOCKCHAIN BASED TRADE FINANCE SOLUTION Source text - http://bit.ly/2ka9Pz9 Further company coverage:,topStory'
b'20171128,Indian shares edge down; Reliance  Infosys fall ,Nov 28 - Indian shares traded slightly lower on Tuesday  weighed down by market heavyweights such as Reliance Industries Ltd and Infosys Ltd  with investors now focussed on September-quarter GDP data  due on Thursday.,topStory'
b'20171127,BRIEF-Infosys Partners With HPE To Help Customers With Mainframe Modernization ,* SAYS CO PARTNERS WITH HPE TO HELP CUSTOMERS WITH MAINFRAME MODERNIZATION Source text - http://bit.ly/2A7wr9v Further company coverage:,topStory'
b'20171031,Indian shares fall on profit-booking; Infosys drags ,Oct 31 Indian shares fell on Tuesday  retreating from record highs hit in the previous session  as recent outperformers such as State Bank of India fell  while Infosys Ltd dropped after going ex-dividend.,topStory'
b'20171024,BRIEF-Infosys founder Murthy says questions on "poor governance" remain unanswered ,* Infosys founder N. Murthy: stand by every question on poor governance raised in my speech to Infosys investors,topStory'
b'20171024,BRIEF-Infosys reaffirms previous findings of external probe into Panaya acquisition ,* Says Sept quarter annualized standalone employee attrition at 17.2 percent \xe2\x80\x8d\xe2\x80\x8b,normal'
b"20171024,India's Infosys posts surprise 3.3 pct rise in Q2 profit ,Oct 24 Infosys Ltd  India's second-biggest software services exporter  reported a surprise 3.3 percent rise in second-quarter profit  beating analysts' estimates.,normal"
b"20171024,BRIEF-India's Infosys Sept-qtr consol profit up about 3 pct ,* Sept quarter consol profit 37.26 billion rupees versus profit of 36.06 billion rupees last year,normal"
b'20171010,Indian shares edge higher; Infosys  Lupin lead ,Oct 10 Indian shares climbed on Tuesday  with Infosys Ltd gaining after its shareholders approved a buyback plan while Lupin Ltd rose after winning U.S. approval for its hypertension drug.,topStory'
b'20170922,BRIEF-Infosys Finacle partners with ToneTag to offer sound-based contactless payments solutions ,* Says Infosys Finacle partners with ToneTag to offer sound-based contactless payments solutions \xe2\x80\x8d\xe2\x80\x8b Source text: http://bit.ly/2hnhLrK Further company coverage:,topStory'
b"20170919,BRIEF-Infosys Senior VP Sanjay Rajagopalan resigned on Sept. 13 ,* Says Sanjay Rajagopalan's (senior vice president  head - design & research) last date of employment with Infosys was Sept 13  2017\xe2\x80\x8b Source text: http://bit.ly/2hcN644 Further company coverage:,topStory"
b'20170918,BRIEF-Infosys and CMA CGM Group sign strategic partnership ,* CMA CGM GROUP SIGNS STRATEGIC PARTNERSHIP WITH INFOSYS TO ACCELERATE TRANSFORMATION OF ITS INFORMATION SYSTEMS\xe2\x80\x8d\xe2\x80\x8b,topStory'
b'20170912,BRIEF-Infosys Ltd says \xe2\x80\x8dwill open North Carolina Technology and Innovation Hub in Raleigh ,* Says \xe2\x80\x8dwill open North Carolina Technology and Innovation Hub in Raleigh; hub is expected to hire 2 000 American workers by 2021\xe2\x80\x8b Source text for Eikon: Further company coverage:,topStory'
b'20170911,BRIEF-Infosys completes acquisition of Brilliant Basics ,* Says Infosys completes acquisition of Brilliant Basics - digital innovation and customer experience studio Source text - http://bit.ly/2xeDD1Y Further company coverage:,topStory'
b"20170908,BRIEF-India's Infosys inducted into Dow Jones Sustainability indices ,* Says co inducted into Dow Jones Sustainability indices Source text - [Infosys Inducted into the Index Component of Dow Jones Sustainability Indices (DJSI) Bangalore - September 8  2017: Infosys has been inducted into the prestigious Dow Jones Sustainability Indices (DJSI) announced on September 7  2017 and is now part of the DJSI World and DJSI Emerging Markets Indices.] Further company coverage:,topStory"
b'20170907,BRIEF-Infosys establishes new office in Netherlands ,* Says establishes new office in Netherlands Source text: [Infosys (NYSE: INFY)  a global leader in consulting  technology and next-generation services  today announced the opening of a new state-of-the-art office space in Amsterdam. The office was inaugurated by the Deputy Mayor of Amsterdam  Ms. Kajsa Ollongren  together with the Indian Ambassador to The Netherlands  Mr. Venu Rajamony  in the presence of Mr. Mohit Joshi  President and Head of Banking  Financial Services and Insurance  Healthca,topStory'
b'20170901,BRIEF-Infosys starts shareholder talks on governance standards actions ,* Says started engaging in shareholder consultations to determine further actions,topStory'
b"20170829,UPDATE 1-Infosys founder Murthy defends role in boardroom feud ,MUMBAI  Aug 29 Infosys Ltd founder Narayana Murthy on Tuesday defended his role in a months-long war of words with the company's board that led to changes at the top  saying his actions were in the interest of shareholders.,topStory"
b"20170829,Infosys founder Murthy defends role in boardroom feud ,MUMBAI  Aug 29 Infosys Ltd founder Narayana Murthy on Tuesday defended his role in a months-long war of words with the company's board that led to changes at the top  saying his actions were in the interest of shareholders.,normal"
b"20170829,BRIEF-Infosys founder Murthy believes corrective actions on corporate governance already begun with Nilekani as chair ,* Founder Narayana Murthy says believes corrective actions on corporate governance have already begun with Nilekani as co's chair Further company coverage:,normal"
b'20170829,BRIEF-Infosys founder Narayana Murthy says "my action only in interest for all investors" - CNBC TV 18 ,* Founder Narayana Murthy says "contrary to the views of many  my action only in interest for all investors" - CNBC TV 18,normal'
b'20170828,UPDATE 2-Infosys shares rise as co-founder Nilekani returns as chairman ,* Infosys says some founders to participate in stock buyback (Adds founders to participate in share buyback),topStory'
b'20170828,Indian shares end higher for 4th straight session; Infosys rallies ,Aug 28 Indian shares ended higher for a fourth consecutive session on Monday  as Infosys rallied to become top performer on both indexes on hopes that appointment of co-founder Nandan Nilekani as chairman could end a feud between the founders and board.,normal'
b'20170828,Indian shares head for 4th session of gains; Infosys leads ,Aug 28 Indian shares rose on Monday  heading for a fourth consecutive session of gains  as Infosys Ltd surged on the first day of trading since the appointment of co-founder Nandan Nilekani as chairman on hopes that the move would help defuse a months-long row between the founders and the board.,normal'
b"20170828,Infosys' new chairman to focus on CEO search  strategy , (This Aug 25 story corrects paragraph 21 to show U.S.-listed shares trade on NYSE  not Nasdaq),normal"
b"20170828,CORRECTED-UPDATE 3-Infosys' new chairman to focus on CEO search  strategy ,* Sees tremendous opportunity in software  data  machine learning,normal"
b"20170828,Infosys shares jump after Nilekani named non-exec chairman ,MUMBAI  Aug 28 Shares of Infosys Ltd rose as much as 4.6 percent on Monday  after co-founder Nandan Nilekani returned as chairman raising hopes that a months-long row between the board and the founders of the country's second-biggest software services exporter will be resolved.,normal"
b'20170825,Challenges ahead as Nilekani takes on second innings at Infosys ,* Will also need to replace Sikka  whose CEO role remains vacant,topStory'
b"20170825,Challenges ahead as Nilekani takes on second innings at Infosys ,MUMBAI/BENGALURU The return of former boss Nandan Nilekani to Infosys is intended as a return to normality for investors and the tech company's 200 000 employees  drawing a line under the bitter public battle between board members and founders.,normal"
b"20170825,Infosys chairman says to focus on CEO search  new board and strategy ,MUMBAI  Aug 25 Infosys Ltd's new chairman said he would focus on finding a chief executive  reconstituting the board and future strategy  seeking to calm investors rattled by the recent shock exit of the firm's CEO over a prolonged row with the founders.,normal"
b"20170825,Infosys names former chief Nilekani as chairman  defusing feud with founders ,MUMBAI Indian IT services firm Infosys named Nandan Nilekani  one of its founders and former heads  as chairman on Thursday in a bid to end a lengthy feud between the board and the company's founders.,normal"
b'20170825,REFILE-UPDATE 2-Infosys names former chief Nilekani as chairman  defusing feud with founders ,* Nandan Nilekani takes over as chairman with immediate effect,normal'
b"20170825,Breakingviews - Infosys founders get second chance on succession ,MUMBAI (Reuters Breakingviews) - Infosys' founders are getting a second chance to leave behind a company that won't crash. Nandan Nilekani will return as non-executive chairman of the $32 billion Indian information technology firm he helped found. That is less than ideal\xc2\xa0given\xc2\xa0it\xc2\xa0was supposed to have shifted to professional management. Still  his appointment in place of two co-chairman streamlines the top ranks and is a fast way to calm investors after its first outside chief executive quit.,normal"
b'20170824,CORRECTED-UPDATE 1-Nilekani returns to Infosys as chairman as board tries to end feud with founders ,MUMBAI  Aug 24 The board of Indian IT services company Infosys Ltd appointed one of its founders and former CEO Nandan Nilekani as chairman on Thursday  seeking to end a feud between management and founders that prompted its CEO to step down last week.,topStory'
b'20170824,CORRECTED-Infosys appoints former chief Nilekani as chairman in bid to settle feud ,MUMBAI  Aug 24 The board of Indian IT services company Infosys Ltd appointed former chief Nandan Nilekani as chairman on Thursday  as it sought to end a row with founder executives that prompted its CEO to step down last week.,normal'
b"20170824,BRIEF-India's Infosys appoints former CEO Nilekani as chairman ,* India's Infosys Ltd says appoints Nandan Nilekani as non-exec non-independent chairman of board,normal"
b"20170824,UPDATE 1-Reports of Infosys co-founder Nilekani's board return trigger stock rebound ,* Institutional investors call for Nilekani's return to quell feud,normal"
b"20170823,Investors want former CEO Nilekani to return to Infosys board ,MUMBAI A group of 12 major institutional investors in Infosys Ltd  has asked the Indian IT services company to bring former CEO Nandan Nilekani back on to its board to try to resolve a feud with the company's founders.,topStory"
b"20170823,Investors want former CEO Nilekani to return to Infosys board ,MUMBAI  Aug 23 A group of 12 major institutional investors in Infosys Ltd has asked the Indian IT services company to bring former CEO Nandan Nilekani back on to its board to try to resolve a feud with the company's founders.,normal"
b"20170821,Infosys shares extend losses as leadership issues outweigh share buyback ,MUMBAI A planned $2 billion share buyback by Infosys failed to lift shares in India's No. 2 IT services company  which dropped on Monday for a second straight trading day on concerns over a dispute between its board and founders.,topStory"
b"20170821,UPDATE 1-Infosys shares extend losses as leadership issues outweigh share buyback ,MUMBAI  Aug 21 A planned $2 billion share buyback by Infosys failed to lift shares in India's No. 2 IT services company  which dropped on Monday for a second straight trading day on concerns over a dispute between its board and founders.,normal"
b"20170819,India's Infosys approves up to $2 billion buyback of shares ,MUMBAI India's second-biggest IT firm Infosys  said on Saturday it will buy back shares worth up to 130 billion rupees ($2 billion)  a day after Vishal Sikka resigned as chief executive after a long-running feud with the company's founders.,topStory"
b"20170819,UPDATE 2-India's Infosys approves up to $2 bln buyback of shares ,MUMBAI  Aug 19 India's second-biggest IT firm Infosys said on Saturday it will buy back shares worth up to 130 billion rupees ($2 billion)  a day after Vishal Sikka resigned as chief executive after a long-running feud with the company's founders.,normal"
b"20170819,After CEO's dramatic exit  Infosys faces recruitment headache ,MUMBAI/BENGALURU The dramatic departure of Vishal Sikka as chief executive of Infosys   following a months-long public battle with the tech giant's founders  has left the company with another messy problem: how to find someone willing to replace him.,normal"
b"20170819,After CEO's dramatic exit  Infosys faces recruitment headache ,* Ongoing spat between founders  board complicates CEO search,normal"
b"20170819,CORRECTED-UPDATE 1-India's Infosys approves up to $2 bln buyback of shares ,MUMBAI  Aug 19 India's second-biggest IT firm Infosys said on Saturday it will buy back shares worth up to 130 billion rupees ($2 billion)  a day after Vishal Sikka resigned as chief executive after a long-running feud with the company's founders.,normal"
b"20170819,India's Infosys approves up to $2 bln buyback of shares ,MUMBAI  Aug 19 The board of India's second biggest IT firm  Infosys Ltd  on Saturday approved a share buyback programme of up to 130 billion rupees ($2.03 billion)  a day after Vishal Sikka resigned as chief executive after a long-running feud with the company's founders.,normal"
b'20170818,Infosys CEO resigns after long-running feud with founders ,BENGALURU/MUMBAI Vishal Sikka  the chief executive brought in to turn around India\'s Infosys  three years ago  resigned on Friday  blaming a "continuous drumbeat of distractions" and a long-running row with the founders over company strategy. |\xc2\xa0Video ,topStory'
b'20170818,UPDATE 4-Infosys CEO resigns after long-running feud with founders ,* Resignation comes after protracted row with founders (Writes through  adds detail  background  Murthy and Infosys comments),normal'
b"20170818,BRIEF-India's Infosys' chairman says co has no interest in engaging in legal battle against Murthy ,* India's Infosys' chairman says there will be no change to our buyback plan,normal"
b'20170818,RPT-TIMELINE-Infosys CEO Sikka resigns  bruised by disputes with founders ,Aug 18 Major events at Infosys Ltd since the appointment of Vishal Sikka as chief executive officer three years ago. Sikka resigned on Friday.,normal'
b'20170818,TIMELINE: Infosys CEO Sikka resigns  bruised by disputes with founders ,Major events at Infosys Ltd since the appointment of Vishal Sikka as chief executive officer three years ago. Sikka resigned on Friday.,normal'
b'20170818,BRIEF-Infosys Founder Murthy says "extremely anguished by allegations  tone and tenor of the statements" ,* Founder Narayana Murthy says "extremely anguished by the allegations  tone and tenor of the statements",normal'
b"20170818,Founders\xe2\x80\x99 coup leaves a void at Infosys ,MUMBAI (Reuters Breakingviews) - For Infosys  a new chief executive is not the answer. Vishal Sikka delivered outsize returns in three years at the helm of India's second largest outsourcer by market value. No wonder that the resignation of the company's first professional CEO amid an ugly spat with founder shareholders prompted a roughly 9 percent plunge in the share price.,normal"
b"20170818,Indian shares fall as Infosys CEO resignation hurts ,Aug 18 Indian shares fell on Friday  snapping a three-day winning streak  as Infosys Ltd Chief Executive Vishal Sikka's resignation sent the stock tumbling  although rivals such as Tata Consultancy Services Ltd gained.,normal"
b"20170818,BRIEF-India's Infosys' Sikka says absolutely focussed on Q2  rest of the year ,* Exec says board is incredibly committed to strategic direction articulated by Vishal Sikka,normal"
b"20170818,India's Infosys CEO and MD Sikka resigns ,Aug 18 Infosys Ltd said on Friday Vishal Sikka has resigned as managing director and chief executive of the company with immediate effect.,normal"
b'20170817,Indian shares little changed; Infosys gains ,Aug 17 Indian shares ended nearly flat on Thursday paring early gains due to a decline in banking shares  while a surge in market heavyweight Infosys Ltd after the announcement of a probable share buyback propped up the indexes.,topStory'
b"20170816,India's Infosys to consider share buyback proposal ,Aug 16 India's Infosys Ltd said on Wednesday its board will consider a proposal  to buy back equity shares  at its meeting later this month.,topStory"
