time,date,Source,News_Headlines
6.01 pm,2009-05-01,Moneycontrol.com,TCS launches new campus in Bhubaneswar
1.07 pm,2009-05-01,Moneycontrol.com,TCS' Dec qtr PAT seen at Rs 1227 cr: Angel
3.55 pm,2009-01-01,CNBC-TV18,TCS's Q3 PAT seen at Rs 1374 cr: KRChoksey
1.29 pm,2009-01-02,Moneycontrol.com,TCS completes acquisition of Citigroup Global Services
10.00 am,2009-01-03,CNBC-TV18,"Stay away from TCS, says Sukhani"
8.35 am,2009-01-04,CNBC-TV18,TCS Q3 numbers fall short of expectations
8.16 am,2009-01-05,CNBC-TV18,See significant reduction in IT budgets going ahead: TCS
8.21 pm,2009-01-06,Moneycontrol.com,TCS adds 41 new clients in Q3
7.20 pm,2009-01-07,CNBC-TV18,Q3 rev growth impacted due to Re movement: TCS
6.50 pm,2009-01-08,Moneycontrol.com,"TCS Q3 revenues at $ 1,483 million (US GAAP) "
6.40 pm,2009-01-09,Moneycontrol.com,TCS Q3 revenues at Rs 7277cr; up 24.13% YoY (Indian GAAP) 
6.25 pm,2009-01-10,CNBC-TV18,"TCS Q3 US GAAP PAT up 7.17% at Rs 1,352 cr"
1.37 pm,2009-01-11,CNBC-TV18,"Limited downside in TCS, says Mohindar"
8.47 am,2009-01-12,CNBC-TV18,TCS Q3 EBIDTA seen up 5.4% to Rs 1917 cr
8.47 pm,2009-01-13,CNBC-TV18,Mahadevan positive on Infosys
8.25 pm,2009-01-14,CNBC-TV18,"Nortel files for bankruptcy: Impact on Indian IT, telecom"
4.17 pm,2009-01-15,CNBC-TV18,TCS Q3 net profit seen at Rs 1401 cr
3.04 pm,2009-01-16,CNN-IBN,World Bank gives Satyam's projects to TCS
10.50 am,2009-01-17,CNBC-TV18,"Buy TCS, says Gujral"
3.24 pm,2009-01-18,Moneycontrol.com,TCS' Dec qtr PAT seen at Rs 1407.9 cr: Religare
1.47 pm,2009-01-19,Moneycontrol.com,TCS Q3 PAT seen up at Rs 1406.9 cr: Emkay
12.56 pm,2009-01-20,CNBC-TV18,TCS can test Rs 540-570: N Pillai
12.43 pm,2009-01-21,Moneycontrol.com,TCS Q3 PAT seen at Rs 1366.21 cr: Reliance Money
8.53 am,2009-01-22,Business Line,IT majors may miss Q3 revenue forecast: CLSA 
7.42 pm,2009-01-23,CNBC-TV18,TCS-Cisco ink strategic alliance on IT services
12.15 pm,2009-01-24,Moneycontrol.com,TCS enables Cochin Port to become India?s 1st ePort
8.37 am,2009-01-25,Business Line,No clarity on joining date for HCL?s campus recruits 
4.19 pm,2009-01-26,CNBC-TV18,Book profit in Polaris: Mohindar
10.58 am,2009-01-27,CNBC-TV18,"Chakrabarty positive on Infosys, TCS"
4.39 pm,2009-01-28,CNBC-TV18,Slowdown blues: IT cos may slash variable pay
4.37 pm,2009-01-29,Moneycontrol.com,'BBB' rating on TCS affirmed; Outlook revised to stable
5.37 pm,2009-01-30,Moneycontrol.com,Phones 4U signs $100mn deal with TCS
8.36 am,2009-01-31,Business Line,Ramalinga Raju's salary is lowest among peers! 
5.39 pm,2009-02-01,Moneycontrol.com,NetApp announces global strategic alliance with TCS
2.13 pm,2009-02-02,Moneycontrol.com,Hold Tata Consultancy Services: Sharekhan
12.27 pm,2009-02-03,Moneycontrol.com,"TCS named Technology Partner of Ducati Motor Holding, SpA"
6.01 pm,2009-02-04,Moneycontrol.com,"Sell TCS, target of Rs 440: Reliance Money"
12.44 pm,2009-02-05,Moneycontrol.com,TCS an underperformer: HDFC Securities
12.05 pm,2009-02-06,Moneycontrol.com,"Hold TCS, target of Rs 552: ICICIdirect.com"
9.02 pm,2009-02-07,Moneycontrol.com,"Hold TCS, target of Rs 590: Emkay Global"
6.48 pm,2009-02-08,Moneycontrol.com,"Buy TCS, target of Rs 584: Motilal Oswal"
2.58 pm,2009-02-09,Moneycontrol.com,"Accumulate TCS, target of Rs 578: Angel"
2.37 pm,2009-02-10,Moneycontrol.com,"Reduce TCS, target of Rs 540: IIFL"
11.32 am,2009-02-11,CNBC-TV18,"Hold TCS, says R Jain"
11.14 am,2009-02-12,Moneycontrol.com,TCS Mar qtr PAT seen up 6% at Rs 1450 cr
2.33 pm,2009-02-13,Moneycontrol.com,TCS Mar qtr PAT seen up 0.4% at Rs 1357 cr
1.31 pm,2009-02-14,Moneycontrol.com,TCS Mar'09 qtr PAT seen down 2% at Rs 1327 cr
8.53 am,2009-02-15,Business Line,Domestic IT cos may seek fewer H1Bs this year 
6.07 pm,2009-02-16,Moneycontrol.com,"Buy TCS, target of Rs 550: Motilal Oswal"
4.52 pm,2009-02-17,CNBC-TV18,LIC earmarks Rs 1400cr for IT foray
10.50 am,2009-02-18,CNBC-TV18,"Buy Wipro, TCS on all declines: Gujral"
12.55 pm,2009-02-19,CNBC-TV18,TCS can test Rs 575: Bhambwani
8.36 am,2009-02-20,Business Line,"TCS asks 1,300 employees to leave "
8.42 am,2009-02-21,Business Line,HCL Tech emerges lowest bidder for BSNL deal 
11.12 am,2009-02-22,Moneycontrol.com,"Sell TCS, target of Rs 440: Reliance Money"
8.33 am,2009-02-23,Business Line,Order conversion into business slow: TCS 
8.39 am,2009-02-24,Business Line,Wait set to end for HCL Tech recruits 
1.00 pm,2009-02-25,CNBC-TV18,"Enter in TCS, Infosys on decline: Joshi"
8.54 am,2009-02-26,Business Line,IT cos look to push campus hiring closer to pass-out date
1.08 pm,2009-02-27,CNBC-TV18,Customers re-working budgets won't affect offshoring: TCS
11.47 am,2009-02-28,CNBC-TV18,"Narayana Murthy against job cuts, will reduce pay if needed"
8.27 am,2009-03-01,Business Line,'IT vendors may see few mega deals till economy recovers'
11.40 am,2009-03-02,Moneycontrol.com,TCS & Cisco to develop & deliver IT service solns
8.34 am,2009-03-03,Business Line,Campus hiring: IT majors keeping off IITs? 
6.50 pm,2009-03-04,Moneycontrol.com,"Reduce TCS, target of Rs 529: Prabhudas Lilladher"
3.22 pm,2009-03-05,Moneycontrol.com,"Hold TCS, target of Rs 530: Emkay Global"
1.44 pm,2009-03-06,Moneycontrol.com,"Sell TCS, target of Rs 460: PINC Research"
1.26 pm,2009-03-07,Moneycontrol.com,"Hold TCS, target of Rs 594: KRChoksey"
1.22 pm,2009-03-08,Moneycontrol.com,Hold Tata Consultancy Services: Sharekhan
11.58 am,2009-03-09,press release,TCS FY09 revenues at record $6b; up 23% Y-o-Y 
8.53 am,2009-03-10,CNBC-TV18,Q1 to be under pressure; see some recovery by Q2 FY10: TCS
7.30 pm,2009-03-11,CNBC-TV18,TCS board approves 1:1 bonus issue; eyes Rs 13.54 EPS
6.44 pm,2009-03-12,CNBC-TV18,TCS FY09 Indian GAAP cons PAT up 5% at Rs 5256.4 cr
10.27 am,2009-03-13,CNBC-TV18,"TCS Q4 revenues seen at Rs 7,281.7 cr"
9.16 am,2009-03-14,CNBC-TV18,TCS Q4 net profit seen down 2.6% at Rs 1316.9 cr
8.24 am,2009-03-15,Business Line,Satyam buy may hasten BT's exit from Tech Mahindra 
10.32 pm,2009-03-16,CNBC-TV18,"Narayana Murthy, Ramodorai cheer Satyam-Tech Mahindra deal"
3.05 pm,2009-03-17,Moneycontrol.com,TCS Q4 net profit seen at Rs 1377.7 cr: Reliance Money
12.39 pm,2009-03-18,Moneycontrol.com,TCS Q4 PAT seen at Rs 1155.2 cr: ICICIdirect.com
9.07 pm,2009-03-19,Moneycontrol.com,TCS Mar qtr PAT seen down at Rs 1343.2 cr: Emkay
8.27 pm,2009-03-20,Moneycontrol.com,TCS Mar qtr PAT seen down at Rs 1302 cr: P Lilladher
8.31 am,2009-03-21,Business Line,TCS wins ?54.7-m contract from UK agency 
3.00 pm,2009-03-22,Moneycontrol.com,TCS Mar qtr PAT seen up at Rs 1297 cr: Religare
1.19 pm,2009-03-23,Moneycontrol.com,TCS' Mar qtr PAT seen down Rs 1315 cr: Angel
2.49 pm,2009-03-24,Moneycontrol.com,TCS Jun qtr PAT seen down at Rs 1229 cr: IIFL
4.53 pm,2009-03-25,Moneycontrol.com,"TCS Q1 PAT seen down by 3% at Rs 1,297 cr: KRChoksey"
5.11 pm,2009-03-26,Moneycontrol.com,"Reduce TCS, target of Rs 375: IIFL"
4.39 pm,2009-03-27,Moneycontrol.com,"Hold TCS, target of Rs 400: PINC Research"
9.00 am,2009-03-28,Business Line,TCS aims to trim selling costs
2.24 pm,2009-03-29,CNBC-TV18,RNRL case win to benefit Rel Power too: Tulsian 
8.49 am,2009-03-30,Business Line,Infosys BPO looks for rural partners
5.23 pm,2009-03-31,CNBC-TV18,"Bose bets on Infosys, TCS"
4.51 pm,2009-04-01,Moneycontrol.com,Motilal Oswal neutral on TCS
8.23 am,2009-04-02,Business Line,Chandrasekaran to succeed Ramadorai as TCS chief
11.44 am,2009-04-03,CNBC-TV18,Buy TCS on declines: Mathew
11.42 am,2009-04-04,CNBC-TV18,"Exit TCS, says Tulsian"
11.37 am,2009-04-05,CNBC-TV18,Stay with IT stocks: P Sekhar
4.35 pm,2009-04-06,Moneycontrol.com,"Buy TCS, target of Rs 726: Angel Broking"
11.50 am,2009-04-07,CNBC-TV18,"Hold TCS, says Mohindar"
